test,department,origin_rule,origin,n
PT,ORTOPEDI VE TRAVMATOLOJI (KONSULTASYON),R1_konsultasyon,Inpatient,3
PT,3.KAT R1 FIZIK TEDAVI SERVISI - 1,R4_servis_klinik,Inpatient,2
PT,COCUK ALERJI - IMMUNOLOJI SERVISI (MT1-8B),R4_servis_klinik,Inpatient,2
PT,COCUK UROLOJI SERVISI (MT1-6A),R4_servis_klinik,Inpatient,2
PT,GENEL CERRAHI SERV (MT4-8A),R4_servis_klinik,Inpatient,2
PT,KADIN HASTALIKLARI KLINIK SERVIS (MT1-9A),R4_servis_klinik,Inpatient,2
PT,PLASTIK CERRAHI (KONSULTASYON),R1_konsultasyon,Inpatient,2
PT,PLASTIK REKONSTRIKTIF VE ESTETIK CER. (MT4-8B),R4_servis_klinik,Inpatient,2
PT,YGAP KAPALI PSIKIYATRI SERVISI - 3 (KADIN),R4_servis_klinik,Inpatient,2
PT,3.KAT R2 FIZIK TEDAVI SERVISI - 3,R4_servis_klinik,Inpatient,1
PT,3.KAT R4 FIZIK TEDAVI SERVISI - 2,R4_servis_klinik,Inpatient,1
PT,ANESTEZI PALYATIF KLINIGI (MT4-9B),R4_servis_klinik,Inpatient,1
PT,COCUK ENFEKSIYON HASTALIKLARI (KONSULTASYON),R1_konsultasyon,Inpatient,1
PT,GOGUS HASTALIKLARI SERVISI (MT2-7A),R4_servis_klinik,Inpatient,1
PT,IC HASTALIKLARI SERVISI - 1 (MT2-10A),R4_servis_klinik,Inpatient,1
PT,KADIN HASTALIKLARI SERVIS (MT1-10C),R4_servis_klinik,Inpatient,1
PT,UROLOJI SERVISI (MT4-10C),R4_servis_klinik,Inpatient,1
PT,UROLOJI SERVISI (MT4-11C),R4_servis_klinik,Inpatient,1
PT,COCUK ACIL,R2_acil,Outpatient,6077
PT,COCUK CERRAHI POL. - 1 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,941
PT,COCUK GASTROENTROLOJI POL. - 1 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,930
PT,COCUK GASTROENTROLOJI POL. - 2 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,754
PT,COCUK GASTROENTROLOJI POL. - 6 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,507
PT,COCUK GASTROENTROLOJI POL. - 4 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,435
PT,COCUK GASTROENTROLOJI POL. - 3 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,426
PT,COCUK CERRAHI POL. - 2 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,421
PT,COCUK CERRAHI POL. - 3 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,359
PT,COCUK GASTROENTROLOJI POL. - 5 (MH 2.KAT),R3_poliklinik_muayene,Outpatient,304
PT,COCUK ACIL TRAVMA,R2_acil,Outpatient,172
PT,KULAK BURUN BOGAZ HASTALIKLARI -4 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,119
PT,COCUK ACIL GOZLEM ARENASI-2,R2_acil,Outpatient,118
PT,EL CERRAHISI POL. - 1 (ONK),R3_poliklinik_muayene,Outpatient,117
PT,KULAK BURUN BOGAZ HASTALIKLARI -7 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,102
PT,KULAK BURUN BOGAZ HASTALIKLARI -6 (GNL 2.KAT),R5_numarali_brans_birimi,Outpatient,101
